20180410 13:33:44.4944 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:44.5234 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Html.TeaserCards, Version: 1.0.6, Id = 3cc59684-bd70-4ce9-a444-b9b102b018fe
20180410 13:33:44.6186 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:44.6392 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Html.LinkButton, Version: 1.0.2, Id = 4d59f41b-92fd-4a51-a164-7731556a85b8
20180410 13:33:44.6809 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:44.7039 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Html.Jumbotron, Version: 1.0.2, Id = 40c17ce5-df89-458d-93a9-d09f80b475ec
20180410 13:33:47.1769 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:47.1989 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.StarterSite.Venus.Templates.Razor, Version: 2.0.2, Id = 1136ef29-1bc5-4aac-94e8-7463ea857eb8
20180410 13:33:47.2832 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:47.3384 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.StarterSite.Venus.Core, Version: 2.0.9, Id = 65d06d1e-e810-49f4-98c8-4a336936f5cc
20180410 13:33:50.3302 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:50.4340 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.StarterSite.SampleImages, Version: 2.0.0, Id = e9233fb0-75c3-47f5-9b91-97d4b632826e
20180410 13:33:50.8208 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:50.8600 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.StarterSite.Venus.Content, Version: 2.0.7, Id = 19e37de4-c106-45d0-a8f2-fa99503dac85
20180410 13:33:50.9432 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:51.0174 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.StarterSite.SharedPages, Version: 2.0.4, Id = 6f078485-f7c3-40b2-8960-b075ccfaaaa3
20180410 13:33:51.2275 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:51.2626 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.StarterSite.Components, Version: 1.0.5, Id = 12b53b71-a829-4972-b7e8-8ecd8c99841b
20180410 13:33:51.3770 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:51.4041 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Search.WebsiteSearch.DefaultContent, Version: 1.0.0, Id = 8f20ae2f-ec3f-4085-b6c8-9a5935745e2b
20180410 13:33:51.4322 2  8 Information PackageManagerInstallProcess  Package successfully installed
